id,index,commonNameZh,scientificName,slug,icon_path,photo_url,photo_source,matched_taxon,photo_found
fish-032,032,紅魔鬼岩魚,Trachurus novaezelandiae,yellowtail-scad,assets/fish/icons/generated/032.png,https://inaturalist-open-data.s3.amazonaws.com/photos/14760631/large.jpeg,inat_obs,Trachurus novaezelandiae,1
fish-033,033,羊魚,Scomberoides lysan,queenfish,assets/fish/icons/generated/033.png,https://inaturalist-open-data.s3.amazonaws.com/photos/568300826/large.jpg,inat_obs,Scomberoides lysan,1
fish-034,034,羊魚（鬚）,Rastrelliger kanagurta,indian-mackerel,assets/fish/icons/generated/034.png,https://inaturalist-open-data.s3.amazonaws.com/photos/254005025/large.jpg,inat_obs,Rastrelliger kanagurta,1
fish-035,035,花生魚,Scomberomorus commerson,narrow-barred-spanish-mackerel,assets/fish/icons/generated/035.png,https://inaturalist-open-data.s3.amazonaws.com/photos/218054923/large.jpg,inat_obs,Scomberomorus commerson,1
fish-036,036,花鰹,Euthynnus affinis,kawakawa,assets/fish/icons/generated/036.png,https://inaturalist-open-data.s3.amazonaws.com/photos/490499838/large.jpg,inat_obs,Euthynnus affinis,1
fish-037,037,蛋斑隆頭魚,Thunnus tonggol,longtail-tuna,assets/fish/icons/generated/037.png,https://inaturalist-open-data.s3.amazonaws.com/photos/431555995/large.jpg,inat_obs,Thunnus tonggol,1
fish-038,038,角聲魚,Parastromateus niger,black-pomfret,assets/fish/icons/generated/038.png,https://inaturalist-open-data.s3.amazonaws.com/photos/240696337/large.jpeg,inat_obs,Parastromateus niger,1
fish-039,039,豹紋珊瑚鱸,Pampus argenteus,silver-pomfret,assets/fish/icons/generated/039.png,https://static.inaturalist.org/photos/22208601/large.jpeg,inat_obs,Pampus argenteus,1
fish-040,040,連米銀腹魚,Diodon holocanthus,pufferfish,assets/fish/icons/generated/040.png,https://inaturalist-open-data.s3.amazonaws.com/photos/6493337/large.jpg,inat_obs,Diodon holocanthus,1
fish-041,041,里夫黃姑魚,Pterois volitans,lionfish,assets/fish/icons/generated/041.png,https://static.inaturalist.org/photos/29368079/large.jpg,inat_obs,Pterois volitans,1
fish-042,042,金目鱸,Synanceia verrucosa,stonefish,assets/fish/icons/generated/042.png,https://inaturalist-open-data.s3.amazonaws.com/photos/76659416/large.jpg,inat_obs,Synanceia verrucosa,1
fish-043,043,金線馬頭魚,Scorpaena porcus,scorpionfish,assets/fish/icons/generated/043.png,https://inaturalist-open-data.s3.amazonaws.com/photos/51396772/large.jpg,inat_obs,Scorpaena porcus,1
fish-044,044,銀鯡,Hypanus americanus,stingray,assets/fish/icons/generated/044.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5856356/large.jpg,inat_obs,Hypanus americanus,1
fish-045,045,銀鯧,Chiloscyllium plagiosum,white-spotted-bamboo-shark,assets/fish/icons/generated/045.png,https://inaturalist-open-data.s3.amazonaws.com/photos/452814206/large.jpeg,inat_obs,Chiloscyllium plagiosum,1
fish-046,046,銀鱚,Cantherhines pullus,orangespotted-filefish,assets/fish/icons/generated/046.png,https://inaturalist-open-data.s3.amazonaws.com/photos/599527615/large.jpg,inat_obs,Cantherhines pullus,1
fish-047,047,青鱗小沙丁,Aluterus monoceros,unicorn-leatherjacket,assets/fish/icons/generated/047.png,https://inaturalist-open-data.s3.amazonaws.com/photos/4614108/large.jpeg,inat_obs,Aluterus monoceros,1
fish-048,048,髭尾扁頭魚,Asterorhombus cocosensis,flatfish,assets/fish/icons/generated/048.png,https://upload.wikimedia.org/wikipedia/commons/9/97/Flatfish_%2882546%29.jpg,wikimedia_commons_search,Asterorhombus cocosensis,1
fish-049,049,鮣魚,Gymnothorax undulatus,moray-eel,assets/fish/icons/generated/049.png,https://inaturalist-open-data.s3.amazonaws.com/photos/112702429/large.jpg,inat_obs,Gymnothorax undulatus,1
fish-050,050,鯷魚,Conger conger,conger-eel,assets/fish/icons/generated/050.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5346790/large.jpg,inat_obs,Gymnothorax funebris,1
fish-051,051,鰶魚,Pagrus major,red-seabream,assets/fish/icons/generated/051.png,https://inaturalist-open-data.s3.amazonaws.com/photos/436455057/large.jpeg,inat_obs,Pagrus major,1
fish-052,052,黃姑魚,Nibea albiflora,sand-seabream,assets/fish/icons/generated/052.png,https://inaturalist-open-data.s3.amazonaws.com/photos/638059905/large.jpg,inat_zh_taxon,Nibea albiflora,1
fish-053,053,黃甲魚,,oil-seabream,assets/fish/icons/generated/053.png,https://static.inaturalist.org/photos/25741066/large.jpeg,inat_obs_fill,Scobinancistrus aureatus,1
