id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-061,061,青針魚,Terapon puta,assets/fish/icons/generated/061.png,https://inaturalist-open-data.s3.amazonaws.com/photos/162032088/large.jpeg,data\fish_audit4\photo_cache\fish-061.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#D0D0D0,#B0B0B0,#D0B0B0",0.9213,19.83,23.49,3.67,中風險
fish-062,062,比目魚,Gerres subfasciatus,assets/fish/icons/generated/062.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668820074/large.jpg,data\fish_audit4\photo_cache\fish-062.jpg,"#907030,#B07030,#1050B0","#705050,#707050,#505030",0.8991,27.87,14.55,13.33,中風險
fish-063,063,海鯰,Engraulis australis,assets/fish/icons/generated/063.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668122379/large.jpg,data\fish_audit4\photo_cache\fish-063.jpg,"#B01010,#D01010,#901010","#907050,#B09070,#705030",0.9322,16.60,33.81,17.22,中風險
fish-064,064,大鱗烏頭,Sardinella aurita,assets/fish/icons/generated/064.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669176909/large.jpg,data\fish_audit4\photo_cache\fish-064.jpg,"#1050B0,#103050,#1070D0","#D09090,#B07070,#705050",0.8935,31.70,15.62,16.08,中風險
fish-065,065,彈塗魚,Sphyraena barracuda,assets/fish/icons/generated/065.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669802751/large.gif,data\fish_audit4\photo_cache\fish-065.jpg,"#F0F0F0,#B0F0F0,#907050","#50B0B0,#70D0F0,#5090B0",0.7818,22.90,11.67,11.23,中風險
fish-066,066,灰烏頭,Petalichthys capensis,assets/fish/icons/generated/066.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668829093/large.jpg,data\fish_audit4\photo_cache\fish-066.jpg,"#103090,#1050B0,#103070","#5090B0,#509090,#3090B0",0.9937,31.09,3.98,27.11,高風險
fish-067,067,狗母魚,Hemiramphus far,assets/fish/icons/generated/067.png,https://inaturalist-open-data.s3.amazonaws.com/photos/665644894/large.jpg,data\fish_audit4\photo_cache\fish-067.jpg,"#1070B0,#1090D0,#D0B070","#707070,#709070,#909090",0.9530,32.93,3.01,29.91,高風險
fish-068,068,花狗母魚,Tandanus tandanus,assets/fish/icons/generated/068.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668865252/large.jpg,data\fish_audit4\photo_cache\fish-068.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#D0D0D0,#D0D0F0,#F0F0F0",0.5201,19.83,46.44,26.61,低風險
fish-069,069,鰕虎魚,Genidens barbus,assets/fish/icons/generated/069.png,https://inaturalist-open-data.s3.amazonaws.com/photos/235897032/large.jpeg,data\fish_audit4\photo_cache\fish-069.jpg,"#F0F0F0,#F0D090,#70F0F0","#F0F0F0,#101010,#F0D0D0",0.3811,28.10,26.47,1.63,低風險
fish-070,070,鰻尾鯰,Gerres simillimus,assets/fish/icons/generated/070.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670186089/large.jpg,data\fish_audit4\photo_cache\fish-070.jpg,"#301010,#901010,#B01010","#90B0B0,#709090,#90D0D0",0.9911,17.74,29.78,12.04,高風險
