id,name_zh,name_en,type,is_island,district,radius_meters,source,lat,lon,geo_method,geo_note
I057,九龍石,Kowloon Rock,island,true,Kowloon City,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.316445598,114.19884821,map.gov.hk locationSearch + geodetic transform,
I058,弓洲,Kung Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.483240591,114.371337778,map.gov.hk locationSearch + geodetic transform,
I059,罐杉環,Kwun Cham Wan,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.374158961,114.30099419,map.gov.hk locationSearch + geodetic transform,
I060,觀仔,Kwun Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.264967081,114.279640122,map.gov.hk locationSearch + geodetic transform,
I061,癩痢仔,Lak Lei Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.303590227,114.316935033,map.gov.hk locationSearch + geodetic transform,
I062,南丫島,Lamma Island,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.207917056,114.123844109,map.gov.hk locationSearch + geodetic transform,
I063,爛樹排,Lan Shuen Pei,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.530404715,114.272797734,map.gov.hk locationSearch + geodetic transform,
I064,爛頭排,Lan Tau Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.405739156,114.387642877,map.gov.hk locationSearch + geodetic transform,
I065,大嶼山,Lantau Island,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.258765687,113.9327004,map.gov.hk locationSearch + geodetic transform,
I066,垃圾洲,Lap Sap Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.386155813,114.282156598,map.gov.hk locationSearch + geodetic transform,
I067,小青洲,Little Green Island,island,true,Central & Western,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.285632574,114.116818554,map.gov.hk locationSearch + geodetic transform,
I068,羅洲,Lo Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.206925787,114.222863261,map.gov.hk locationSearch + geodetic transform,
I069,鷀鸕排,Lo Chi Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.364443072,114.299742813,map.gov.hk locationSearch + geodetic transform,
I070,老虎吊排,Lo Fu Tiu Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.36306705,114.32532475,map.gov.hk locationSearch + geodetic transform,
I071,老鼠排,Lo Shue Pai,island,true,Eastern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.275100708,114.242388382,map.gov.hk locationSearch + geodetic transform,
I072,饅頭排,Loaf Rock,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.20875059,114.036946753,map.gov.hk locationSearch + geodetic transform,
I073,鹿洲,Luk Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.224807749,114.13508912,map.gov.hk locationSearch + geodetic transform,
I074,龍鼓洲,Lung Kwu Chau,island,true,Tuen Mun,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.376261323,113.883364241,map.gov.hk locationSearch + geodetic transform,
I075,龍山排,Lung Shan Pai,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.240839111,114.143252234,map.gov.hk locationSearch + geodetic transform,
I076,龍船排,Lung Shuen Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.306609586,114.36706466,map.gov.hk locationSearch + geodetic transform,
I077,甩洲,Lut Chau,island,true,Yuen Long,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.476892194,114.034123417,map.gov.hk locationSearch + geodetic transform,
I078,馬屎洲,Ma Shi Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.454451842,114.229842447,map.gov.hk locationSearch + geodetic transform,
I079,孖仔排,Ma Tsai Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.322852255,114.327242812,map.gov.hk locationSearch + geodetic transform,
I080,馬灣,Ma Wan,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.349573577,114.059038034,map.gov.hk locationSearch + geodetic transform,
I081,媽印排,Ma Yan Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.526304321,114.287803122,map.gov.hk locationSearch + geodetic transform,
I082,火藥洲,Magazine Island,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.243321741,114.139545968,map.gov.hk locationSearch + geodetic transform,
I083,尾排,Mei Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.199047584,113.98054517,map.gov.hk locationSearch + geodetic transform,
I084,熨波洲,Middle Island,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.234475679,114.186108837,map.gov.hk locationSearch + geodetic transform,
I085,芒洲仔,Mong Chau Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.371278019,114.301263502,map.gov.hk locationSearch + geodetic transform,
I086,磨洲,Moon Island,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.479876989,114.333864003,map.gov.hk locationSearch + geodetic transform,
I087,木魚洲,Muk Yue Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.388933797,114.311145343,map.gov.hk locationSearch + geodetic transform,
I088,南風洲,Nam Fung Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.342342606,114.351823761,map.gov.hk locationSearch + geodetic transform,
I089,五分洲,Ng Fan Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.225967138,114.25739977,map.gov.hk locationSearch + geodetic transform,
I090,牙鷹洲,Nga Ying Chau,island,true,Sai Kung Southeast to Ching Chau ({{zh|t=青洲|labels=no}}),250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.388848476,114.315932667,map.gov.hk locationSearch + geodetic transform,
I091,牙鷹排,Nga Ying Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.24266069,114.28069091,map.gov.hk locationSearch + geodetic transform,
I092,岩口石,Ngam Hau Shek,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.329651896,114.058666502,map.gov.hk locationSearch + geodetic transform,
I093,牛屎砵,Ngau Shi Pui,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.454451842,114.229842447,map.gov.hk locationSearch + geodetic transform,
I094,牛頭排,Ngau Tau Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.322205741,114.3016179,map.gov.hk locationSearch + geodetic transform,
